,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
Test,2011,9,202,473,9,22.4,42.7,63,2,0,15,2,72.1
Test,2012,16,689,1474,14,49.2,46.7,116,3,3,89,2,77.9
Test,2013,12,616,1127,11,56,54.7,119,3,2,73,2,70.9
Test,2014,20,847,1399,19,44.6,60.5,169,2,4,101,2,69.4
Test,2015,15,640,1184,15,42.7,54.1,147,2,2,74,1,72
Test,2016,18,1215,2011,16,75.9,60.4,235,2,4,134,2,65.1
Test,2017,16,1059,1389,14,75.6,76.2,243,1,5,98,6,54.2
Test,2018,24,1307,2414,24,54.5,54.1,153,5,5,142,2,70.5
Test,2019,11,608,967,9,67.6,62.9,254,2,2,78,3,68.4
Test,2020,6,116,283,6,19.3,41,74,1,0,15,0,79.9
Test,2021,19,536,1216,19,28.2,44.1,72,4,0,60,1,77.1
Test,2022,11,265,672,10,26.5,39.4,79,1,0,33,1,79.2
Test,2023,12,671,1226,12,55.9,54.7,186,2,2,70,1,68.6
Test,2024,19,417,673,17,24.5,62,100,1,1,43,5,67
Test,2025,2,23,81,2,11.5,28.4,17,0,0,1,0,84
,Total,210,9211,16589,197,46.8,55.5,254,31,30,1026,30,69.9
,,,,,,,,,,,,,
ODI,2008,5,159,239,5,31.8,66.5,54,1,0,21,1,71.5
ODI,2009,8,325,385,6,54.2,84.4,107,2,1,36,3,51.7
ODI,2010,23,995,1169,20,49.8,85.1,118,7,3,90,4,48.3
ODI,2011,34,1381,1614,29,47.6,85.6,117,8,4,127,7,46.8
ODI,2012,17,1026,1094,15,68.4,93.8,183,3,5,92,7,43.6
ODI,2013,30,1268,1300,24,52.8,97.5,115,7,4,138,20,48.1
ODI,2014,20,1054,1058,18,58.6,99.6,139,5,4,94,20,43.6
ODI,2015,20,623,773,17,36.6,80.6,138,1,2,44,8,49
ODI,2016,10,739,739,8,92.4,100,154,4,3,62,8,40.2
ODI,2017,26,1460,1473,19,76.8,99.1,131,7,6,136,22,42.8
ODI,2018,14,1202,1172,9,133.6,102.6,160,3,6,123,13,41.7
ODI,2019,25,1377,1429,23,59.9,96.4,123,7,5,133,8,41.8
ODI,2020,9,431,467,9,47.9,92.3,89,5,0,35,5,41.1
ODI,2021,3,129,149,3,43,86.6,66,2,0,10,1,41.6
ODI,2022,11,302,347,11,27.5,87,113,2,1,32,2,48.1
ODI,2023,24,1377,1389,19,72.5,99.1,166,8,6,122,24,42
ODI,2024,3,58,69,3,19.3,84.1,24,0,0,8,0,53.6
ODI,2025,7,275,326,6,45.8,84.4,100,2,1,23,1,44.2
,Total,289,14181,15192,244,58.1,93.3,183,74,51,1326,154,45
,,,,,,,,,,,,,
T20I,2010,1,26,21,0,-,123.8,26,0,0,3,1,42.9
T20I,2011,4,61,52,4,15.2,117.3,28,0,0,10,0,42.3
T20I,2012,13,471,355,12,39.2,132.7,78,4,0,57,7,30.7
T20I,2013,1,29,22,1,29,131.8,29,0,0,2,1,31.8
T20I,2014,7,385,288,4,96.2,133.7,77,5,0,33,11,26.7
T20I,2015,2,44,28,2,22,157.1,43,0,0,1,3,7.1
T20I,2016,13,641,457,6,106.8,140.3,90,7,0,70,9,29.1
T20I,2017,10,299,196,8,37.4,152.6,82,2,0,32,8,24.5
T20I,2018,9,211,173,7,30.1,122,61,1,0,10,8,33.5
T20I,2019,10,466,315,6,77.7,147.9,94,5,0,29,23,24.4
T20I,2020,9,295,208,8,36.9,141.8,85,1,0,18,10,20.7
T20I,2021,8,299,225,4,74.8,132.9,80,4,0,25,10,30.2
T20I,2022,20,781,565,14,55.8,138.2,122,8,1,66,26,29
T20I,2024,10,180,151,10,18,119.2,76,1,0,13,7,39.7
,Total,117,4188,3056,86,48.7,137,122,38,1,369,124,28.7
IPL,2008,12,165,157,11,15,105.1,38,0,0,18,4,45.2
IPL,2009,17,325,270,14,23.2,120.4,50,1,0,34,8,38.5
IPL,2010,17,420,284,14,30,147.9,58,1,0,36,16,27.5
IPL,2011,22,789,619,17,46.4,127.5,84,6,0,78,26,37.8
IPL,2012,15,364,326,13,28,111.7,73,2,0,33,10,39.6
IPL,2013,16,634,457,14,45.3,138.7,99,6,0,64,22,35.9
IPL,2014,14,359,294,13,27.6,122.1,73,2,0,23,16,36.4
IPL,2015,16,505,386,11,45.9,130.8,82,3,0,35,23,36
IPL,2016,16,973,640,12,81.1,152,113,7,4,84,38,26.4
IPL,2017,10,308,252,10,30.8,122.2,64,4,0,23,11,35.7
IPL,2018,14,530,381,11,48.2,139.1,92,4,0,52,18,31.8
IPL,2019,14,464,328,14,33.1,141.5,100,2,1,46,13,28.4
IPL,2020,15,466,384,11,42.4,121.4,90,3,0,23,11,26
IPL,2021,15,405,339,14,28.9,119.5,72,3,0,43,9,37.2
IPL,2022,16,341,294,15,22.7,116,73,2,0,32,8,39.1
IPL,2023,14,639,457,12,53.2,139.8,101,6,2,65,16,28.4
IPL,2024,15,741,479,12,61.8,154.7,113,5,1,62,38,30.9
IPL,2025,15,657,454,12,54.8,144.7,73,8,0,66,19,26.7
,Total,273,9085,6801,230,39.5,133.6,113,65,8,817,306,32.9